GESTION;2018;;;;;;;
TYPE BUDGET;Comptes d'affectation spéciale;;;;;;;
;;;;; Données;;;
Mission;Programme;Action;Catégorie;Libellé catégorie;AELF 2017; AEPLF;CPLF 2017;CPPLF
Aides à l'acquisition de véhicules propres;791;01;61;Transferts aux ménages;320 000 000;261 000 000;320 000 000;261 000 000
Aides à l'acquisition de véhicules propres;792;01;61;Transferts aux ménages;27 000 000;127 000 000;27 000 000;127 000 000
Contrôle de la circulation et du stationnement routiers;751;01;31;Dépenses de fonctionnement autres que celles de personnel;85 343 917;107 270 100;85 343 917;107 270 100
Contrôle de la circulation et du stationnement routiers;751;01;51;Dépenses pour immobilisations corporelles de l’État;46 156 083;70 883 120;46 156 083;70 883 120
Contrôle de la circulation et du stationnement routiers;751;02;32;Subventions pour charges de service public;70 000 000;67 000 000;70 000 000;67 000 000
Contrôle de la circulation et du stationnement routiers;751;02;72;Dotations en fonds propres;12 000 000;15 000 000;12 000 000;15 000 000
Contrôle de la circulation et du stationnement routiers;751;03;31;Dépenses de fonctionnement autres que celles de personnel;7 500 000;16 100 000;7 500 000;16 100 000
Contrôle de la circulation et du stationnement routiers;751;04;31;Dépenses de fonctionnement autres que celles de personnel;18 920 000;29 580 000;18 920 000;29 580 000
Contrôle de la circulation et du stationnement routiers;751;04;51;Dépenses pour immobilisations corporelles de l’État;9 080 000;2 000 000;9 080 000;2 000 000
Contrôle de la circulation et du stationnement routiers;753;01;32;Subventions pour charges de service public;22 200 000;25 200 000;22 200 000;25 200 000
Contrôle de la circulation et du stationnement routiers;753;01;72;Dotations en fonds propres;4 000 000;1 000 000;4 000 000;1 000 000
Contrôle de la circulation et du stationnement routiers;754;01;63;Transferts aux collectivités territoriales;664 790 165;516 557 675;664 790 165;516 557 675
Contrôle de la circulation et du stationnement routiers;755;01;31;Dépenses de fonctionnement autres que celles de personnel;438 776 184;486 570 013;438 776 184;486 570 013
Développement agricole et rural;775;01;64;Transferts aux autres collectivités;70 453 250;64 900 000;70 453 250;64 900 000
Développement agricole et rural;775;02;31;Dépenses de fonctionnement autres que celles de personnel;100 000;100 000;100 000;100 000
Développement agricole et rural;776;01;64;Transferts aux autres collectivités;76 546 750;70 700 000;76 546 750;70 700 000
Développement agricole et rural;776;02;31;Dépenses de fonctionnement autres que celles de personnel;400 000;300 000;400 000;300 000
Financement des aides aux collectivités pour l'électrification rurale;793;03;64;Transferts aux autres collectivités;172 000 000;164 200 000;172 000 000;164 200 000
Financement des aides aux collectivités pour l'électrification rurale;793;04;64;Transferts aux autres collectivités;42 700 000;40 800 000;42 700 000;40 800 000
Financement des aides aux collectivités pour l'électrification rurale;793;05;64;Transferts aux autres collectivités;44 500 000;42 500 000;44 500 000;42 500 000
Financement des aides aux collectivités pour l'électrification rurale;793;06;64;Transferts aux autres collectivités;51 000 000;48 700 000;51 000 000;48 700 000
Financement des aides aux collectivités pour l'électrification rurale;793;07;64;Transferts aux autres collectivités;55 000 000;52 500 000;55 000 000;52 500 000
Financement des aides aux collectivités pour l'électrification rurale;793;08;31;Dépenses de fonctionnement autres que celles de personnel;1 400 000;1 200 000;1 400 000;1 200 000
Financement des aides aux collectivités pour l'électrification rurale;793;09;64;Transferts aux autres collectivités;500 000;500 000;500 000;500 000
Financement des aides aux collectivités pour l'électrification rurale;793;10;64;Transferts aux autres collectivités;2 500 000;2 400 000;2 500 000;2 400 000
Financement des aides aux collectivités pour l'électrification rurale;794;02;64;Transferts aux autres collectivités;2 000 000;1 900 000;2 000 000;1 900 000
Financement des aides aux collectivités pour l'électrification rurale;794;03;64;Transferts aux autres collectivités;4 000 000;4 000 000;4 000 000;4 000 000
Financement des aides aux collectivités pour l'électrification rurale;794;04;64;Transferts aux autres collectivités;1 400 000;1 300 000;1 400 000;1 300 000
Financement national du développement et de la modernisation de l'apprentissage;787;03;63;Transferts aux collectivités territoriales;1 393 550 853;1 389 937 832;1 393 550 853;1 389 937 832
Financement national du développement et de la modernisation de l'apprentissage;790;01;63;Transferts aux collectivités territoriales;179 689 222;242 794 452;179 689 222;242 794 452
Gestion du patrimoine immobilier de l'État;721;01;31;Dépenses de fonctionnement autres que celles de personnel;60 000 000;0;60 000 000;0
Gestion du patrimoine immobilier de l'État;723;11;31;Dépenses de fonctionnement autres que celles de personnel;67 597 000;42 600 000;55 705 000;49 800 000
Gestion du patrimoine immobilier de l'État;723;11;32;Subventions pour charges de service public;;7 600 000;;7 600 000
Gestion du patrimoine immobilier de l'État;723;11;51;Dépenses pour immobilisations corporelles de l’État;278 406 000;179 630 641;284 034 000;229 700 000
Gestion du patrimoine immobilier de l'État;723;11;63;Transferts aux collectivités territoriales;10 288 000;;9 335 000;
Gestion du patrimoine immobilier de l'État;723;11;64;Transferts aux autres collectivités;0;4 600 000;0;4 400 000
Gestion du patrimoine immobilier de l'État;723;11;72;Dotations en fonds propres;13 306 000;130 200 000;12 108 000;130 200 000
Gestion du patrimoine immobilier de l'État;723;12;31;Dépenses de fonctionnement autres que celles de personnel;21 892 000;22 400 000;13 846 000;22 400 000
Gestion du patrimoine immobilier de l'État;723;12;51;Dépenses pour immobilisations corporelles de l’État;1 702 000;1 600 000;1 177 000;1 600 000
Gestion du patrimoine immobilier de l'État;723;13;31;Dépenses de fonctionnement autres que celles de personnel;54 622 000;43 200 000;49 679 000;43 200 000
Gestion du patrimoine immobilier de l'État;723;13;51;Dépenses pour immobilisations corporelles de l’État;7 556 000;4 800 000;9 641 000;4 800 000
