GESTION;2018;;;;;;;
TYPE BUDGET;Budget général;;;;;;;
;;;;; Données;;;
Mission;Programme;Action;Catégorie;Libellé catégorie;AELF 2017; AEPLF;CPLF 2017;CPPLF
Action et transformation publiques;348;11;31;Dépenses de fonctionnement autres que celles de personnel;;20 000 000;;20 000 000
Action et transformation publiques;349;1;31;Dépenses de fonctionnement autres que celles de personnel;;5 000 000;;0
Action et transformation publiques;349;1;32;Subventions pour charges de service public;;45 000 000;;0
Action et transformation publiques;349;1;51;Dépenses pour immobilisations corporelles de l’État;;10 000 000;;0
Action et transformation publiques;349;1;52;Dépenses pour immobilisations incorporelles de l’État;;40 000 000;;0
Action et transformation publiques;349;1;63;Transferts aux collectivités territoriales;;25 000 000;;0
Action et transformation publiques;349;1;64;Transferts aux autres collectivités;;25 000 000;;0
Action et transformation publiques;349;1;72;Dotations en fonds propres;;50 000 000;;0
Action extérieure de l'État;105;1;21;Rémunérations d’activité;41 516 956;42 145 433;41 516 956;42 145 433
Action extérieure de l'État;105;1;22;Cotisations et contributions sociales;20 378 460;21 611 586;20 378 460;21 611 586
Action extérieure de l'État;105;1;23;Prestations sociales et allocations diverses;1 094 783;1 249 791;1 094 783;1 249 791
Action extérieure de l'État;105;1;31;Dépenses de fonctionnement autres que celles de personnel;20 543 836;22 213 846;20 543 836;22 213 846
Action extérieure de l'État;105;1;61;Transferts aux ménages;2 441 478;2 783 145;2 441 478;2 783 145
Action extérieure de l'État;105;2;21;Rémunérations d’activité;7 588 919;7 651 244;7 588 919;7 651 244
Action extérieure de l'État;105;2;22;Cotisations et contributions sociales;2 572 696;2 685 480;2 572 696;2 685 480
Action extérieure de l'État;105;2;23;Prestations sociales et allocations diverses;95 801;110 806;95 801;110 806
Action extérieure de l'État;105;2;31;Dépenses de fonctionnement autres que celles de personnel;15 000;15 000;15 000;15 000
Action extérieure de l'État;105;2;61;Transferts aux ménages;40 990 135;41 753 746;40 990 135;41 753 746
Action extérieure de l'État;105;2;64;Transferts aux autres collectivités;81 500;;81 500;
Action extérieure de l'État;105;4;61;Transferts aux ménages;769 297 298;757 561 767;769 297 298;757 561 767
Action extérieure de l'État;105;5;21;Rémunérations d’activité;50 036 843;48 553 855;50 036 843;48 553 855
Action extérieure de l'État;105;5;22;Cotisations et contributions sociales;21 051 217;17 332 249;21 051 217;17 332 249
Action extérieure de l'État;105;5;23;Prestations sociales et allocations diverses;25 517;84 956;25 517;84 956
Action extérieure de l'État;105;5;31;Dépenses de fonctionnement autres que celles de personnel;5 217 376;3 951 832;5 217 376;3 951 832
Action extérieure de l'État;105;5;61;Transferts aux ménages;29 111 068;32 375 813;29 111 068;32 375 813
Action extérieure de l'État;105;6;21;Rémunérations d’activité;74 101 819;75 028 788;74 101 819;75 028 788
Action extérieure de l'État;105;6;22;Cotisations et contributions sociales;37 619 540;39 490 960;37 619 540;39 490 960
Action extérieure de l'État;105;6;23;Prestations sociales et allocations diverses;1 942 313;2 220 846;1 942 313;2 220 846
Action extérieure de l'État;105;6;31;Dépenses de fonctionnement autres que celles de personnel;119 223 279;121 249 822;124 361 243;124 673 444
Action extérieure de l'État;105;6;51;Dépenses pour immobilisations corporelles de l’État;200 000;10 070 000;200 000;10 070 000
Action extérieure de l'État;105;6;52;Dépenses pour immobilisations incorporelles de l’État;;2 500 000;;2 500 000
Action extérieure de l'État;105;7;21;Rémunérations d’activité;308 782 330;310 167 995;308 782 330;310 167 995
Action extérieure de l'État;105;7;22;Cotisations et contributions sociales;62 648 799;52 525 242;62 648 799;52 525 242
Action extérieure de l'État;105;7;23;Prestations sociales et allocations diverses;1 304 354;519 747;1 304 354;519 747
Action extérieure de l'État;105;7;31;Dépenses de fonctionnement autres que celles de personnel;216 013 422;218 269 592;214 557 422;217 810 861
Action extérieure de l'État;105;7;51;Dépenses pour immobilisations corporelles de l’État;65 462 791;65 438 143;65 462 791;65 438 143
Action extérieure de l'État;151;1;21;Rémunérations d’activité;145 571 308;147 247 129;145 571 308;147 247 129
Action extérieure de l'État;151;1;22;Cotisations et contributions sociales;32 964 422;29 205 644;32 964 422;29 205 644
Action extérieure de l'État;151;1;23;Prestations sociales et allocations diverses;603 568;570 083;603 568;570 083
Action extérieure de l'État;151;1;31;Dépenses de fonctionnement autres que celles de personnel;26 549 878;12 407 873;26 549 878;12 407 873
Action extérieure de l'État;151;1;61;Transferts aux ménages;16 552 798;16 217 568;16 552 798;16 217 568
Action extérieure de l'État;151;1;64;Transferts aux autres collectivités;1 876 212;1 380 000;1 876 212;1 380 000
Action extérieure de l'État;151;2;61;Transferts aux ménages;110 030 500;110 000 000;110 030 500;110 000 000
Action extérieure de l'État;151;3;21;Rémunérations d’activité;44 848 080;45 477 246;44 848 080;45 477 246
Action extérieure de l'État;151;3;22;Cotisations et contributions sociales;8 071 697;5 836 804;8 071 697;5 836 804
Action extérieure de l'État;151;3;23;Prestations sociales et allocations diverses;209 939;95 350;209 939;95 350
Action extérieure de l'État;185;1;31;Dépenses de fonctionnement autres que celles de personnel;43 150 612;43 017 823;43 150 612;43 017 823
Action extérieure de l'État;185;1;32;Subventions pour charges de service public;328 302;;328 302;
Action extérieure de l'État;185;2;32;Subventions pour charges de service public;28 691 961;28 791 961;28 691 961;28 791 961
Action extérieure de l'État;185;2;61;Transferts aux ménages;6 913 278;6 776 417;6 913 278;6 776 417
Action extérieure de l'État;185;2;64;Transferts aux autres collectivités;30 049 614;26 841 620;30 049 614;26 841 620
Action extérieure de l'État;185;3;61;Transferts aux ménages;3 164 612;3 093 201;3 164 612;3 093 201
Action extérieure de l'État;185;3;64;Transferts aux autres collectivités;2 590 160;2 574 969;2 590 160;2 574 969
Action extérieure de l'État;185;4;31;Dépenses de fonctionnement autres que celles de personnel;4 803 660;4 857 110;4 803 660;4 857 110
Action extérieure de l'État;185;4;32;Subventions pour charges de service public;3 821 241;3 847 241;3 821 241;3 847 241
Action extérieure de l'État;185;4;61;Transferts aux ménages;63 308 300;63 062 176;63 308 300;63 062 176
Action extérieure de l'État;185;4;64;Transferts aux autres collectivités;23 269 247;30 282 083;23 269 247;30 282 083
Action extérieure de l'État;185;5;32;Subventions pour charges de service public;396 674 393;398 706 841;396 674 393;398 706 841
Action extérieure de l'État;185;6;21;Rémunérations d’activité;60 040 278;56 523 159;60 040 278;56 523 159
Action extérieure de l'État;185;6;22;Cotisations et contributions sociales;14 655 454;15 570 675;14 655 454;15 570 675
Action extérieure de l'État;185;6;23;Prestations sociales et allocations diverses;879 926;873 337;879 926;873 337
Action extérieure de l'État;185;7;32;Subventions pour charges de service public;33 091 020;32 691 020;33 091 020;32 691 020
Action extérieure de l'État;347;1;31;Dépenses de fonctionnement autres que celles de personnel;;9 430 000;;9 430 000
Action extérieure de l'État;347;2;31;Dépenses de fonctionnement autres que celles de personnel;;4 750 000;;2 350 000
Action extérieure de l'État;347;3;31;Dépenses de fonctionnement autres que celles de personnel;;220 000;;220 000
Administration générale et territoriale de l'État;216;1;21;Rémunérations d’activité;186 192 850;194 001 392;186 192 850;194 001 392
Administration générale et territoriale de l'État;216;1;22;Cotisations et contributions sociales;123 476 838;130 968 316;123 476 838;130 968 316
Administration générale et territoriale de l'État;216;1;23;Prestations sociales et allocations diverses;8 994 662;9 483 505;8 994 662;9 483 505
Administration générale et territoriale de l'État;216;1;31;Dépenses de fonctionnement autres que celles de personnel;20 452 152;21 705 447;20 452 152;21 705 447
Administration générale et territoriale de l'État;216;1;32;Subventions pour charges de service public;17 500 000;17 500 000;17 500 000;17 500 000
Administration générale et territoriale de l'État;216;3;31;Dépenses de fonctionnement autres que celles de personnel;52 352 537;46 023 252;53 142 537;46 105 252
Administration générale et territoriale de l'État;216;3;51;Dépenses pour immobilisations corporelles de l’État;28 048 902;11 511 452;29 350 652;11 580 152
Administration générale et territoriale de l'État;216;4;31;Dépenses de fonctionnement autres que celles de personnel;40 614 600;40 192 600;40 614 600;40 192 600
Administration générale et territoriale de l'État;216;5;31;Dépenses de fonctionnement autres que celles de personnel;98 185 621;71 545 404;121 547 741;104 869 685
Administration générale et territoriale de l'État;216;5;51;Dépenses pour immobilisations corporelles de l’État;13 000 000;17 600 000;24 058 064;44 605 850
Administration générale et territoriale de l'État;216;6;31;Dépenses de fonctionnement autres que celles de personnel;55 000 000;80 000 000;55 000 000;80 000 000
Administration générale et territoriale de l'État;216;8;21;Rémunérations d’activité;25 459 699;26 040 233;25 459 699;26 040 233
Administration générale et territoriale de l'État;216;8;22;Cotisations et contributions sociales;14 468 719;14 800 603;14 468 719;14 800 603
Administration générale et territoriale de l'État;216;8;23;Prestations sociales et allocations diverses;162 323;166 149;162 323;166 149
Administration générale et territoriale de l'État;216;8;64;Transferts aux autres collectivités;46 680;;46 680;
Administration générale et territoriale de l'État;216;9;21;Rémunérations d’activité;77 361 319;77 913 000;77 361 319;77 913 000
Administration générale et territoriale de l'État;216;9;22;Cotisations et contributions sociales;47 150 483;48 008 342;47 150 483;48 008 342
Administration générale et territoriale de l'État;216;9;23;Prestations sociales et allocations diverses;277 052;287 942;277 052;287 942
Administration générale et territoriale de l'État;216;10;31;Dépenses de fonctionnement autres que celles de personnel;100 000;180 000;100 000;180 000
Administration générale et territoriale de l'État;216;10;32;Subventions pour charges de service public;22 000 000;6 000 000;22 000 000;6 000 000
Administration générale et territoriale de l'État;216;10;63;Transferts aux collectivités territoriales;88 315 501;66 720 000;78 315 501;66 720 000
Administration générale et territoriale de l'État;232;1;64;Transferts aux autres collectivités;68 670 672;68 670 672;68 670 672;68 670 672
Administration générale et territoriale de l'État;232;2;21;Rémunérations d’activité;38 435 054;869 500;38 435 054;869 500
Administration générale et territoriale de l'État;232;2;22;Cotisations et contributions sociales;2 500 046;55 500;2 500 046;55 500
Administration générale et territoriale de l'État;232;2;31;Dépenses de fonctionnement autres que celles de personnel;319 547 040;39 321 000;318 157 040;41 521 000
Administration générale et territoriale de l'État;232;2;52;Dépenses pour immobilisations incorporelles de l’État;1 000 000;3 460 000;1 000 000;3 460 000
Administration générale et territoriale de l'État;232;2;63;Transferts aux collectivités territoriales;31 076 000;659 000;31 076 000;659 000
Administration générale et territoriale de l'État;232;3;21;Rémunérations d’activité;2 954 000;3 272 618;2 954 000;3 272 618
Administration générale et territoriale de l'État;232;3;22;Cotisations et contributions sociales;1 160 000;1 193 825;1 160 000;1 193 825
Administration générale et territoriale de l'État;232;3;23;Prestations sociales et allocations diverses;136 000;188 000;136 000;188 000
Administration générale et territoriale de l'État;232;3;31;Dépenses de fonctionnement autres que celles de personnel;5 400 000;1 800 000;2 800 000;2 900 000
Administration générale et territoriale de l'État;232;4;51;Dépenses pour immobilisations corporelles de l’État;660 000;680 000;660 000;700 000
Administration générale et territoriale de l'État;232;4;63;Transferts aux collectivités territoriales;1 276 037;1 276 037;1 276 037;1 276 037
Administration générale et territoriale de l'État;232;4;64;Transferts aux autres collectivités;1 115 500;801 000;1 115 500;801 000
Administration générale et territoriale de l'État;232;5;31;Dépenses de fonctionnement autres que celles de personnel;49 000;49 490;49 000;49 490
Administration générale et territoriale de l'État;232;5;52;Dépenses pour immobilisations incorporelles de l’État;40 000;40 400;40 000;40 400
Administration générale et territoriale de l'État;232;5;64;Transferts aux autres collectivités;43 000;;43 000;
Administration générale et territoriale de l'État;307;1;21;Rémunérations d’activité;99 117 899;103 705 925;99 117 899;103 705 925
Administration générale et territoriale de l'État;307;1;22;Cotisations et contributions sociales;65 133 100;67 815 910;65 133 100;67 815 910
Administration générale et territoriale de l'État;307;1;23;Prestations sociales et allocations diverses;1 227 919;996 328;1 227 919;996 328
Administration générale et territoriale de l'État;307;2;21;Rémunérations d’activité;406 119 924;407 923 410;406 119 924;407 923 410
Administration générale et territoriale de l'État;307;2;22;Cotisations et contributions sociales;265 641 153;266 546 636;265 641 153;266 546 636
Administration générale et territoriale de l'État;307;2;23;Prestations sociales et allocations diverses;5 050 112;3 903 895;5 050 112;3 903 895
Administration générale et territoriale de l'État;307;2;31;Dépenses de fonctionnement autres que celles de personnel;10 020 178;9 940 177;10 020 178;9 940 177
Administration générale et territoriale de l'État;307;3;21;Rémunérations d’activité;89 988 730;92 212 532;89 988 730;92 212 532
Administration générale et territoriale de l'État;307;3;22;Cotisations et contributions sociales;58 912 059;60 279 790;58 912 059;60 279 790
Administration générale et territoriale de l'État;307;3;23;Prestations sociales et allocations diverses;1 116 181;882 756;1 116 181;882 756
Administration générale et territoriale de l'État;307;4;21;Rémunérations d’activité;306 384 087;302 295 256;306 384 087;302 295 256
Administration générale et territoriale de l'État;307;4;22;Cotisations et contributions sociales;201 088 876;197 158 405;201 088 876;197 158 405
Administration générale et territoriale de l'État;307;4;23;Prestations sociales et allocations diverses;3 798 426;2 884 831;3 798 426;2 884 831
Administration générale et territoriale de l'État;307;4;31;Dépenses de fonctionnement autres que celles de personnel;9 007 540;8 764 677;8 755 403;8 755 403
Administration générale et territoriale de l'État;307;4;51;Dépenses pour immobilisations corporelles de l’État;3 075 115;3 075 115;3 075 115;3 075 115
Administration générale et territoriale de l'État;307;5;21;Rémunérations d’activité;4 301 148;2 992 698;4 301 148;2 992 698
Administration générale et territoriale de l'État;307;5;22;Cotisations et contributions sociales;2 566 763;1 956 342;2 566 763;1 956 342
