"Mission";"Programme";"Action";"Catégorie_code";"Catégorie";"AEPLF";"CPPLF";"Type_budget";"Année"
"Action et transformation publiques";348;11;31;"Dépenses de fonctionnement autres que celles de personnel";20000000;20000000;"Budget général";2018
"Action et transformation publiques";349;1;31;"Dépenses de fonctionnement autres que celles de personnel";5000000;0;"Budget général";2018
"Action et transformation publiques";349;1;32;"Subventions pour charges de service public";45000000;0;"Budget général";2018
"Action et transformation publiques";349;1;51;"Dépenses pour immobilisations corporelles de l’État";10000000;0;"Budget général";2018
"Action et transformation publiques";349;1;52;"Dépenses pour immobilisations incorporelles de l’État";40000000;0;"Budget général";2018
"Action et transformation publiques";349;1;63;"Transferts aux collectivités territoriales";25000000;0;"Budget général";2018
"Action et transformation publiques";349;1;64;"Transferts aux autres collectivités";25000000;0;"Budget général";2018
"Action et transformation publiques";349;1;72;"Dotations en fonds propres";50000000;0;"Budget général";2018
"Action extérieure de l'État";105;1;21;"Rémunérations d’activité";42145433;42145433;"Budget général";2018
"Action extérieure de l'État";105;1;22;"Cotisations et contributions sociales";21611586;21611586;"Budget général";2018
"Action extérieure de l'État";105;1;23;"Prestations sociales et allocations diverses";1249791;1249791;"Budget général";2018
"Action extérieure de l'État";105;1;31;"Dépenses de fonctionnement autres que celles de personnel";22213846;22213846;"Budget général";2018
"Action extérieure de l'État";105;1;61;"Transferts aux ménages";2783145;2783145;"Budget général";2018
"Action extérieure de l'État";105;2;21;"Rémunérations d’activité";7651244;7651244;"Budget général";2018
"Action extérieure de l'État";105;2;22;"Cotisations et contributions sociales";2685480;2685480;"Budget général";2018
"Action extérieure de l'État";105;2;23;"Prestations sociales et allocations diverses";110806;110806;"Budget général";2018
"Action extérieure de l'État";105;2;31;"Dépenses de fonctionnement autres que celles de personnel";15000;15000;"Budget général";2018
"Action extérieure de l'État";105;2;61;"Transferts aux ménages";41753746;41753746;"Budget général";2018
"Action extérieure de l'État";105;2;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Action extérieure de l'État";105;4;61;"Transferts aux ménages";757561767;757561767;"Budget général";2018
"Action extérieure de l'État";105;5;21;"Rémunérations d’activité";48553855;48553855;"Budget général";2018
"Action extérieure de l'État";105;5;22;"Cotisations et contributions sociales";17332249;17332249;"Budget général";2018
"Action extérieure de l'État";105;5;23;"Prestations sociales et allocations diverses";84956;84956;"Budget général";2018
"Action extérieure de l'État";105;5;31;"Dépenses de fonctionnement autres que celles de personnel";3951832;3951832;"Budget général";2018
"Action extérieure de l'État";105;5;61;"Transferts aux ménages";32375813;32375813;"Budget général";2018
"Action extérieure de l'État";105;6;21;"Rémunérations d’activité";75028788;75028788;"Budget général";2018
"Action extérieure de l'État";105;6;22;"Cotisations et contributions sociales";39490960;39490960;"Budget général";2018
"Action extérieure de l'État";105;6;23;"Prestations sociales et allocations diverses";2220846;2220846;"Budget général";2018
"Action extérieure de l'État";105;6;31;"Dépenses de fonctionnement autres que celles de personnel";121249822;124673444;"Budget général";2018
"Action extérieure de l'État";105;6;51;"Dépenses pour immobilisations corporelles de l’État";10070000;10070000;"Budget général";2018
"Action extérieure de l'État";105;6;52;"Dépenses pour immobilisations incorporelles de l’État";2500000;2500000;"Budget général";2018
"Action extérieure de l'État";105;7;21;"Rémunérations d’activité";310167995;310167995;"Budget général";2018
"Action extérieure de l'État";105;7;22;"Cotisations et contributions sociales";52525242;52525242;"Budget général";2018
"Action extérieure de l'État";105;7;23;"Prestations sociales et allocations diverses";519747;519747;"Budget général";2018
"Action extérieure de l'État";105;7;31;"Dépenses de fonctionnement autres que celles de personnel";218269592;217810861;"Budget général";2018
"Action extérieure de l'État";105;7;51;"Dépenses pour immobilisations corporelles de l’État";65438143;65438143;"Budget général";2018
"Action extérieure de l'État";151;1;21;"Rémunérations d’activité";147247129;147247129;"Budget général";2018
"Action extérieure de l'État";151;1;22;"Cotisations et contributions sociales";29205644;29205644;"Budget général";2018
"Action extérieure de l'État";151;1;23;"Prestations sociales et allocations diverses";570083;570083;"Budget général";2018
"Action extérieure de l'État";151;1;31;"Dépenses de fonctionnement autres que celles de personnel";12407873;12407873;"Budget général";2018
"Action extérieure de l'État";151;1;61;"Transferts aux ménages";16217568;16217568;"Budget général";2018
"Action extérieure de l'État";151;1;64;"Transferts aux autres collectivités";1380000;1380000;"Budget général";2018
"Action extérieure de l'État";151;2;61;"Transferts aux ménages";110000000;110000000;"Budget général";2018
"Action extérieure de l'État";151;3;21;"Rémunérations d’activité";45477246;45477246;"Budget général";2018
"Action extérieure de l'État";151;3;22;"Cotisations et contributions sociales";5836804;5836804;"Budget général";2018
"Action extérieure de l'État";151;3;23;"Prestations sociales et allocations diverses";95350;95350;"Budget général";2018
"Action extérieure de l'État";185;1;31;"Dépenses de fonctionnement autres que celles de personnel";43017823;43017823;"Budget général";2018
"Action extérieure de l'État";185;1;32;"Subventions pour charges de service public";NA;NA;"Budget général";2018
"Action extérieure de l'État";185;2;32;"Subventions pour charges de service public";28791961;28791961;"Budget général";2018
"Action extérieure de l'État";185;2;61;"Transferts aux ménages";6776417;6776417;"Budget général";2018
"Action extérieure de l'État";185;2;64;"Transferts aux autres collectivités";26841620;26841620;"Budget général";2018
"Action extérieure de l'État";185;3;61;"Transferts aux ménages";3093201;3093201;"Budget général";2018
"Action extérieure de l'État";185;3;64;"Transferts aux autres collectivités";2574969;2574969;"Budget général";2018
"Action extérieure de l'État";185;4;31;"Dépenses de fonctionnement autres que celles de personnel";4857110;4857110;"Budget général";2018
"Action extérieure de l'État";185;4;32;"Subventions pour charges de service public";3847241;3847241;"Budget général";2018
"Action extérieure de l'État";185;4;61;"Transferts aux ménages";63062176;63062176;"Budget général";2018
"Action extérieure de l'État";185;4;64;"Transferts aux autres collectivités";30282083;30282083;"Budget général";2018
"Action extérieure de l'État";185;5;32;"Subventions pour charges de service public";398706841;398706841;"Budget général";2018
"Action extérieure de l'État";185;6;21;"Rémunérations d’activité";56523159;56523159;"Budget général";2018
"Action extérieure de l'État";185;6;22;"Cotisations et contributions sociales";15570675;15570675;"Budget général";2018
"Action extérieure de l'État";185;6;23;"Prestations sociales et allocations diverses";873337;873337;"Budget général";2018
"Action extérieure de l'État";185;7;32;"Subventions pour charges de service public";32691020;32691020;"Budget général";2018
"Action extérieure de l'État";347;1;31;"Dépenses de fonctionnement autres que celles de personnel";9430000;9430000;"Budget général";2018
"Action extérieure de l'État";347;2;31;"Dépenses de fonctionnement autres que celles de personnel";4750000;2350000;"Budget général";2018
"Action extérieure de l'État";347;3;31;"Dépenses de fonctionnement autres que celles de personnel";220000;220000;"Budget général";2018
"Administration générale et territoriale de l'État";216;1;21;"Rémunérations d’activité";194001392;194001392;"Budget général";2018
"Administration générale et territoriale de l'État";216;1;22;"Cotisations et contributions sociales";130968316;130968316;"Budget général";2018
"Administration générale et territoriale de l'État";216;1;23;"Prestations sociales et allocations diverses";9483505;9483505;"Budget général";2018
"Administration générale et territoriale de l'État";216;1;31;"Dépenses de fonctionnement autres que celles de personnel";21705447;21705447;"Budget général";2018
"Administration générale et territoriale de l'État";216;1;32;"Subventions pour charges de service public";17500000;17500000;"Budget général";2018
"Administration générale et territoriale de l'État";216;3;31;"Dépenses de fonctionnement autres que celles de personnel";46023252;46105252;"Budget général";2018
"Administration générale et territoriale de l'État";216;3;51;"Dépenses pour immobilisations corporelles de l’État";11511452;11580152;"Budget général";2018
"Administration générale et territoriale de l'État";216;4;31;"Dépenses de fonctionnement autres que celles de personnel";40192600;40192600;"Budget général";2018
"Administration générale et territoriale de l'État";216;5;31;"Dépenses de fonctionnement autres que celles de personnel";71545404;104869685;"Budget général";2018
"Administration générale et territoriale de l'État";216;5;51;"Dépenses pour immobilisations corporelles de l’État";17600000;44605850;"Budget général";2018
"Administration générale et territoriale de l'État";216;6;31;"Dépenses de fonctionnement autres que celles de personnel";80000000;80000000;"Budget général";2018
"Administration générale et territoriale de l'État";216;8;21;"Rémunérations d’activité";26040233;26040233;"Budget général";2018
"Administration générale et territoriale de l'État";216;8;22;"Cotisations et contributions sociales";14800603;14800603;"Budget général";2018
"Administration générale et territoriale de l'État";216;8;23;"Prestations sociales et allocations diverses";166149;166149;"Budget général";2018
"Administration générale et territoriale de l'État";216;8;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Administration générale et territoriale de l'État";216;9;21;"Rémunérations d’activité";77913000;77913000;"Budget général";2018
"Administration générale et territoriale de l'État";216;9;22;"Cotisations et contributions sociales";48008342;48008342;"Budget général";2018
"Administration générale et territoriale de l'État";216;9;23;"Prestations sociales et allocations diverses";287942;287942;"Budget général";2018
"Administration générale et territoriale de l'État";216;10;31;"Dépenses de fonctionnement autres que celles de personnel";180000;180000;"Budget général";2018
"Administration générale et territoriale de l'État";216;10;32;"Subventions pour charges de service public";6000000;6000000;"Budget général";2018
"Administration générale et territoriale de l'État";216;10;63;"Transferts aux collectivités territoriales";66720000;66720000;"Budget général";2018
"Administration générale et territoriale de l'État";232;1;64;"Transferts aux autres collectivités";68670672;68670672;"Budget général";2018
"Administration générale et territoriale de l'État";232;2;21;"Rémunérations d’activité";869500;869500;"Budget général";2018
"Administration générale et territoriale de l'État";232;2;22;"Cotisations et contributions sociales";55500;55500;"Budget général";2018
"Administration générale et territoriale de l'État";232;2;31;"Dépenses de fonctionnement autres que celles de personnel";39321000;41521000;"Budget général";2018
"Administration générale et territoriale de l'État";232;2;52;"Dépenses pour immobilisations incorporelles de l’État";3460000;3460000;"Budget général";2018
"Administration générale et territoriale de l'État";232;2;63;"Transferts aux collectivités territoriales";659000;659000;"Budget général";2018
"Administration générale et territoriale de l'État";232;3;21;"Rémunérations d’activité";3272618;3272618;"Budget général";2018
"Administration générale et territoriale de l'État";232;3;22;"Cotisations et contributions sociales";1193825;1193825;"Budget général";2018
